   855/875 , 0.869542902067480
   855/936 , 0.917536296605404
  855/1004 , 0.509345542059160
  855/1070 , 0.694506324179945
  855/1218 , 0.837982099127843
  855/1265 , 0.504451079318175
  855/1302 , 0.831855120097017
  855/1335 , 0.642944033147993
  855/1445 , 0.440098038131216
  855/1576 , 0.818756355797939
  855/1618 , 0.890396765538779
  855/1655 , 0.635473813844594
  855/1745 , 1.121530233838840
   875/936 , 1.055193820136778
  875/1004 , 0.585762405567464
  875/1070 , 0.798702769614522
  875/1218 , 0.963704145172600
  875/1265 , 0.580133628966162
  875/1302 , 0.956657938463009
  875/1335 , 0.739404613181580
  875/1445 , 0.506125732364454
  875/1576 , 0.941593972938210
  875/1618 , 1.023982558447335
  875/1655 , 0.730813640515784
  875/1745 , 1.289792868382019
  936/1004 , 0.555123044116705
  936/1070 , 0.756925177510034
  936/1218 , 0.913295857862096
  936/1265 , 0.549788690850144
  936/1302 , 0.906618215731214
  936/1335 , 0.700728718337012
  936/1445 , 0.479651911057296
  936/1576 , 0.892342198152902
  936/1618 , 0.970421299770883
  936/1655 , 0.692587112025593
  936/1745 , 1.222327920964161
 1004/1070 , 1.363526853248238
 1004/1218 , 1.645213376640315
 1004/1265 , 0.990390683069104
 1004/1302 , 1.633184255886542
 1004/1335 , 1.262294415199408
 1004/1445 , 0.864046117596330
 1004/1576 , 1.607467403146214
 1004/1618 , 1.748119286445742
 1004/1655 , 1.247628105815019
 1004/1745 , 2.201904485714679
 1070/1218 , 1.206586707640582
 1070/1265 , 0.726344831940613
 1070/1302 , 1.197764643942228
 1070/1335 , 0.925756916479004
 1070/1445 , 0.633684709280181
 1070/1576 , 1.178904103954281
 1070/1618 , 1.282057102345520
 1070/1655 , 0.915000759129077
 1070/1745 , 1.614859641721929
 1218/1265 , 0.601983120932057
 1218/1302 , 0.992688412989726
 1218/1335 , 0.767252706015031
 1218/1445 , 0.525187875241323
 1218/1576 , 0.977057095432094
 1218/1618 , 1.062548670747846
 1218/1655 , 0.758338172743767
 1218/1745 , 1.338370157317333
 1265/1302 , 1.649030310771399
 1265/1335 , 1.274541892183100
 1265/1445 , 0.872429569832738
 1265/1576 , 1.623063938934545
 1265/1618 , 1.765080504421271
 1265/1655 , 1.259733282171806
 1265/1745 , 2.223268578104185
 1302/1335 , 0.772903859836805
 1302/1445 , 0.529056115059902
 1302/1576 , 0.984253550909742
 1302/1618 , 1.070374809299646
 1302/1655 , 0.763923667105013
 1302/1745 , 1.348227842497427
 1335/1445 , 0.684504428754709
 1335/1576 , 1.273448875151902
 1335/1618 , 1.384874451947556
 1335/1655 , 0.988381229285505
 1335/1745 , 1.744366812687544
 1445/1576 , 1.860395377526827
 1445/1618 , 2.023178220288512
 1445/1655 , 1.443936938558056
 1445/1745 , 2.548364538504154
 1576/1618 , 1.087499057849781
 1576/1655 , 0.776145197951200
 1576/1745 , 1.369797285721006
 1618/1655 , 0.713697352056383
 1618/1745 , 1.259584802242854
 1655/1745 , 1.764872461154018
